mean,max,modindx,label
0.09540297349512247,1.0,0.0,1
0.11364288177181603,1.0,0.0,1
0.11533742221549145,1.0,0.0,1
0.12494023306404432,1.0,0.0,1
0.05659801766381615,1.0,1.0,1
0.07271353079794365,1.0,0.0,1
0.032826557795502864,1.0,1.0,1
0.08725559970304313,1.0,0.0,1
0.14543101872104822,1.0,0.0,1
0.02798049933886132,1.0,1.0,1
0.20951644134064032,1.0,0.0,1
0.22431895292528348,1.0,0.0,1
0.09573523143231256,1.0,0.0,1
0.08981267298879388,1.0,0.0,1
0.6189656276302624,1.0,0.0,1
0.043238321984952886,1.0,0.0,1
0.0932411186691374,1.0,0.0,1
0.9069294738421954,1.0,0.0,1
0.1442438511883488,1.0,0.0,1
0.1155529270217282,1.0,0.0,1
0.11972850617412105,1.0,0.0,1
0.5652200214458273,1.0,0.0,1
0.13398262360150692,1.0,0.0,1
0.0912041174630362,1.0,0.0,1
0.17283348901174175,1.0,0.0,1
0.13382286189410306,1.0,0.0,1
0.1452740603160376,1.0,0.0,1
0.09778319794456812,1.0,0.0,1
0.06550784417562575,1.0,0.0,1
0.6253187857396325,1.0,0.0,1
0.06458962511826491,1.0,0.0,1
0.2550270028780057,1.0,0.0,1
0.05125169303786332,1.0,1.0,1
0.09118811273025343,1.0,0.0,1
0.0767459029042002,1.0,1.0,1
0.07012837968294157,1.0,0.0,1
0.0887791120413846,1.0,0.0,1
0.2138117833171564,1.0,0.0,1
0.10104244199660917,1.0,0.0,1
0.1687414332226562,1.0,0.0,1
0.10429688979435917,1.0,0.0,1
0.03756797437166397,1.0,1.0,1
0.1515362611225204,1.0,0.0,1
0.1818457620795995,1.0,0.0,1
0.09178525633957446,1.0,0.0,1
0.019921276281092547,1.0,1.0,1
0.06716121694658322,1.0,0.0,1
0.0982221085414822,1.0,0.0,1
0.12016076842642914,1.0,0.0,1
0.2781653274769505,1.0,0.0,1
0.02222776380648514,1.0,1.0,1
0.11455162775153875,1.0,0.0,1
0.02537117334849252,1.0,1.0,1
0.24880872126228354,1.0,0.0,1
0.06688262319455204,1.0,0.0,1
0.04176257390018377,1.0,1.0,1
0.10178712599011516,1.0,0.0,1
